record_id,layer,physical_kind,source_container_absolute,source_archive_entry,source_plist,logical_texture_name,source_locator_absolute,source_locator_repo_relative,export_path,format,width,height,mode,frames,has_alpha,encoded_sha256,pixel_sha256,phash64,encoded_bytes
P-DIRECT-0026,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_tab_indicator_mtrl_alpha.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_tab_indicator_mtrl_alpha.9.png,res/drawable-hdpi/abc_tab_indicator_mtrl_alpha.9.png,all-images/res/drawable-hdpi/abc_tab_indicator_mtrl_alpha.9.png,PNG,18,18,LA,1,True,AA61229CD70239278109C5EBE725E72484D0252EFA4902A17192366942749289,14B9561FAE465A4CFB7837DF0F3307609FEEA7778AECB40DA90D908EC6BE97CB,D6D629D639D73929,190
P-DIRECT-0027,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_textfield_activated_mtrl_alpha.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_textfield_activated_mtrl_alpha.9.png,res/drawable-hdpi/abc_textfield_activated_mtrl_alpha.9.png,all-images/res/drawable-hdpi/abc_textfield_activated_mtrl_alpha.9.png,PNG,19,16,LA,1,True,A933AAEBBEAE489DEA84E78E7FBC4079FDFDA576FBDEB339401FDA6CDC03E764,5F78480B3516C7E8A1F4661F969BCDE6B936B2699521A317558E71788AC95332,D6D629D729D6D739,186
P-DIRECT-0028,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_textfield_default_mtrl_alpha.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_textfield_default_mtrl_alpha.9.png,res/drawable-hdpi/abc_textfield_default_mtrl_alpha.9.png,all-images/res/drawable-hdpi/abc_textfield_default_mtrl_alpha.9.png,PNG,19,16,LA,1,True,94FE9824714AD94C002FE6219E723C0D80C7CBE3A6130D7AA493730B67E294D1,A9DCCB52E8B1D8D9FC15CC86862982896D8A9C6F7B128F1B1E44F24BB9594F7D,D6D629D6D629C629,192
P-DIRECT-0029,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_textfield_search_activated_mtrl_alpha.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_textfield_search_activated_mtrl_alpha.9.png,res/drawable-hdpi/abc_textfield_search_activated_mtrl_alpha.9.png,all-images/res/drawable-hdpi/abc_textfield_search_activated_mtrl_alpha.9.png,PNG,18,5,LA,1,True,25F25112CC46B285767DE7B5B058CFC0A9EFD5F21CFE724AF031505D66A9ECEB,DB8EBB41E6A3F29C5011E1A590E55638BAB40346907D59B44E71C95BA1B88E2A,D629D629D6D629D6,178
P-DIRECT-0030,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_textfield_search_default_mtrl_alpha.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_textfield_search_default_mtrl_alpha.9.png,res/drawable-hdpi/abc_textfield_search_default_mtrl_alpha.9.png,all-images/res/drawable-hdpi/abc_textfield_search_default_mtrl_alpha.9.png,PNG,18,5,LA,1,True,1411AE65D8160573C166D2A572106FD1103C12F242F67FEEC5FEAA550197E5F5,005A47D61F433B9E2AF1293AFA7765245158DDCF3EDB8C4B291BD342F1FEBAC0,D729D629D62939D7,178
P-DIRECT-0031,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_text_select_handle_left_mtrl.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_text_select_handle_left_mtrl.png,res/drawable-hdpi/abc_text_select_handle_left_mtrl.png,all-images/res/drawable-hdpi/abc_text_select_handle_left_mtrl.png,PNG,66,33,P,1,True,C7A9E8F4B746243321649495CB3EC6F4B926C0062DDBE12F8E05D6EE69A4DDFA,5BF7AE40A230EE8CF7B25F855BE57898F6838C1FDC89759D1E754797E792152B,E569C36DC764CE24,277
P-DIRECT-0032,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_text_select_handle_middle_mtrl.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_text_select_handle_middle_mtrl.png,res/drawable-hdpi/abc_text_select_handle_middle_mtrl.png,all-images/res/drawable-hdpi/abc_text_select_handle_middle_mtrl.png,PNG,30,36,RGBA,1,True,732DCD3875645C1A7760AC1E7B5E4C2367DA36E8E8B13D6C7BB653249E2EE7D8,92F97E6CBA0AECA57EE6F98EEE59EB691B1BCF5FEFE51D76A553F78E6D20AB89,EBB0E112D71B8A79,636
P-DIRECT-0033,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_text_select_handle_right_mtrl.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_text_select_handle_right_mtrl.png,res/drawable-hdpi/abc_text_select_handle_right_mtrl.png,all-images/res/drawable-hdpi/abc_text_select_handle_right_mtrl.png,PNG,66,33,P,1,True,FCD78484A4509B83544A452089B4A9429B1C2C5992B59FC6C1501783ECFAADE5,742C7F5B998208AB659636B9F1152CB34F35469451C5B9EC6B4934841E1947B9,B43C92389339DB79,277
P-DIRECT-0034,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/common_full_open_on_phone.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/common_full_open_on_phone.png,res/drawable-hdpi/common_full_open_on_phone.png,all-images/res/drawable-hdpi/common_full_open_on_phone.png,PNG,96,96,P,1,True,CA57E6AF6DCCF996CA4D2E1EDB802E85323B5D87FFE86510BBD215BB5CCF4382,B60F6D54EAD6F167D221CF8ED8B6E0C06396FBD32B7AEEB6BC7A29C706CADB53,C63019CF6CCF3175,818
P-DIRECT-0035,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/common_google_signin_btn_icon_dark_normal_background.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/common_google_signin_btn_icon_dark_normal_background.9.png,res/drawable-hdpi/common_google_signin_btn_icon_dark_normal_background.9.png,all-images/res/drawable-hdpi/common_google_signin_btn_icon_dark_normal_background.9.png,PNG,73,73,RGBA,1,True,9865619196624A3CBA32A36B0111357AFEA3148F123221BA8C7265BC681AB8A9,C55BA3D417BB8F5A8F6F2187024A829781BAB77EBA0B763DD06F552B1C12BEF7,D0956A957A957A95,897
